nut3_code,pps,pps_per_inhabitant
SK041,14749.22,18200.0
SK042,19379.54,24800.0
TR,2448031.7,27600.0
TR1,714343.37,44100.0
TR10,714343.37,44100.0
TR100,714343.37,44100.0
TR2,107646.9,28000.0
TR21,60151.79,30200.0
TR211,39447.92,33200.0
TR212,9648.45,22900.0
TR213,11055.42,29200.0
TR22,47495.11,25600.0
TR221,32283.41,25200.0
TR222,15211.7,26500.0
TR3,293530.59,26300.0
TR31,140706.49,30500.0
TR310,140706.49,30500.0
TR32,80513.75,24200.0
TR321,24923.39,21300.0
TR322,24233.83,22600.0
TR323,31356.53,28900.0
TR33,72310.34,22600.0
TR331,37153.88,25000.0
TR332,14052.0,18500.0
TR333,12824.66,22300.0
TR334,8279.8,21800.0
TR4,277647.98,31200.0
TR41,125560.01,27600.0
TR411,91955.91,27100.0
TR412,26970.54,29100.0
TR413,6633.56,29000.0
TR42,152087.96,35000.0
TR421,93972.36,43300.0
TR422,29470.58,26300.0
TR423,10199.21,24700.0
TR424,9918.58,30100.0
TR425,8527.23,27500.0
TR5,315650.2,36600.0
TR51,256559.37,43300.0
TR510,256559.37,43300.0
TR52,59090.84,21800.0
TR521,52246.14,21300.0
TR522,6844.69,25900.0
TR6,267748.13,22800.0
TR61,99544.64,28800.0
TR611,83696.21,30800.0
TR612,9707.73,21300.0
TR613,6140.7,21500.0
TR62,100504.95,21700.0
TR621,48054.37,19300.0
TR622,52450.58,24400.0
TR63,67698.54,18700.0
TR631,34482.0,19100.0
TR632,22803.48,18800.0
TR633,10413.06,17400.0
TR7,89020.56,20800.0
TR71,35573.1,21100.0
TR711,6849.97,23900.0
TR712,9825.03,22200.0
TR713,7573.57,19900.0
TR714,6615.3,20100.0
TR715,4709.23,19100.0
TR72,53447.45,20500.0
TR721,33957.1,22200.0
TR722,12465.6,19300.0
TR723,7024.74,16600.0
TR8,90892.23,19200.0
TR81,20596.46,19600.0
TR811,11814.16,20000.0
TR812,5157.05,20300.0
TR813,3625.25,17500.0
TR82,17219.23,21000.0
TR821,8388.23,21700.0
TR822,4803.47,23600.0
TR823,4027.53,17600.0
TR83,53076.53,18500.0
TR831,28164.93,20300.0
TR832,8874.99,14500.0
TR833,9528.38,18000.0
TR834,6508.23,19000.0
TR9,48744.77,17900.0
TR90,48744.77,17900.0
TR901,15704.83,19000.0
TR902,12486.05,16100.0
TR903,7759.66,16900.0
TR904,6834.85,19500.0
TR905,3660.27,21400.0
TR906,2299.1,15800.0
TRA,34948.99,16200.0
TRA1,19988.39,18600.0
TRA11,13195.25,17600.0
TRA12,5248.28,21600.0
TRA13,1544.86,18200.0
TRA2,14960.6,13800.0
TRA21,5414.4,10700.0
TRA22,4568.97,16600.0
TRA23,3028.01,14500.0
TRA24,1949.23,21100.0
TRB,61023.69,15500.0
TRB1,34102.71,19300.0
TRB11,15613.09,20100.0
TRB12,11836.48,19200.0
TRB13,4340.59,15200.0
TRB14,2312.55,26300.0
TRB2,26920.98,12400.0
TRB21,12533.67,11100.0
TRB22,5027.31,12600.0
TRB23,4592.76,12700.0
TRB24,4767.24,16700.0
TRC,146834.29,14200.0
TRC1,60042.75,17300.0
TRC11,45576.42,17500.0
TRC12,11321.52,18000.0
TRC13,3144.8,13900.0
TRC2,50668.31,11700.0
TRC21,25812.11,10300.0
TRC22,24856.2,13500.0
TRC3,36123.23,14300.0
